Nid,DLL Author Record,Authorized Name,Author Name Latin,Author Name English,Author Name Native Language,Also known as,Other Alternative Name Form(s),Time Period,LoC Source,LofC URI,LoC ID,VIAF Source,PHI Author Name,Perseus Name,BNE Name,BNF Name,DNB Name,ICCU Name,ISNI Name,WorldCat Identity
89867,89867 : Abbo Metensis ca. 627 - 643,Abbo Metensis ca. 627 - 643,Abbo Metensis,,,,,Classical,,,,http://viaf.org/viaf/71750055,,Abbo Metensis ca. 627 – 643,,,Abbo Metensis ca. ca. 627 - 643,,,
44468,"44468 : Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbo, Monk of St. Germain, approximately 850-approximately 923",Abbo Sangermanensis,Abbo of Saint-Germain,Abbon de Saint-Germain-des-Prés,,,Medieval,http://lccn.loc.gov/n85182069,https://id.loc.gov/authorities/names/n85182069,n85182069,http://viaf.org/viaf/25395909,,,,Abbon 0850?-0923?,Abbo de Sancto Germano 850-923,,Abbo,https://www.worldcat.org/identities/lccn-n85182069
45454,"45454 : Abbo, of Fleury, Saint","Abbo, of Fleury, Saint",Abbo Floriacensis,Saint Abbo of Fleury,Abbon de Fleury,,,Medieval,https://lccn.loc.gov/n82150366,http://id.loc.gov/authorities/names/n82150366,n82150366,https://viaf.org/viaf/9966678/,,,,,,,,
45131,"45131 : Abelard, Peter","Abelard, Peter",Petrus Abaelardus,Peter Abelard,Pierre Abélard,,,Medieval,http://lccn.loc.gov/n79142562,https://id.loc.gov/authorities/names/n79142562,n79142562,http://viaf.org/viaf/88995118,,"Abelard, Peter, 1079-1142","Abelardo, Pedro 1079-1142",Abélard Pierre 1079-1142,"Abaelard, Peter 1079-1142","Abaelardus , Petrus ","Abaelardus, Petrus",https://www.worldcat.org/identities/lccn-n79142562
89755,"89755 : Abercius, Saint, Bishop of Hierapolis, -approximately 200","Abercius, Saint, Bishop of Hierapolis, -approximately 200",,,,,,Classical,http://lccn.loc.gov/no00014333,https://id.loc.gov/authorities/names/no00014333,no00014333,http://viaf.org/viaf/75854919,,,,,Aberkios von Hierapolis ca. 2. Jh.,,Aberci de Hieràpolis,https://www.worldcat.org/identities/lccn-no00014333
71912,71912 : Ablabius,Ablabius,Ablabius,,,,,Classical,https://lccn.loc.gov/nr95020708,http://id.loc.gov/authorities/names/nr95020708,nr95020708,https://viaf.org/viaf/46652645,Ablabius,Ablabius,,,,,,
45683,"45683 : Accius, Lucius","Accius, Lucius",Lucius Accius,,,,,Classical,http://lccn.loc.gov/n80125819,https://id.loc.gov/authorities/names/n80125819,n80125819,http://viaf.org/viaf/4905872,Lucius Accius,"Accius, Lucius","Accio, Lucio",Accius Lucius 0170-0086? av. J.-C.,"Accius, Lucius ca. v170 - v85","Accius , Lucius","Accius, L. 170-ca.85 v.Chr",https://www.worldcat.org/identities/lccn-n80125819
91682,"91682 : Achaintre, Nicolas-Louis, 1771-1836","Achaintre, Nicolas-Louis, 1771-1836",,,,,,Neo-Latin,,,,http://viaf.org/viaf/27107328,,,,Achaintre Nicolas-Louis 1771-1836,"Achaintre, Nicolas Louis",,"Achaintre, Nicolas-Louis 1771-1836",
71106,"71106 : Achard, de Saint-Victor, -approximately 1171","Achard, de Saint-Victor, -approximately 1171",Achardus Sancti Victoris,"Achard, Bishop of Avranches",Achard de Saint-Victor,,,Medieval,http://lccn.loc.gov/n89618761,https://id.loc.gov/authorities/names/n89618761,n89618761,http://viaf.org/viaf/7741792,,,,Achard de Saint-Victor 11..-1171,,Achardus : de S. Victore,Achardus de S. Victore,https://www.worldcat.org/identities/lccn-n89618761
45551,"45551 : Achardus, of Arroasia","Achardus, of Arroasia",Achardus‏ ‎Arroasiensis,,Achardus de Arroasia,,,Medieval,,,,http://viaf.org/viaf/22494291,,,,,Achardus de Arroasia ca. 12. Jh.,,,
45936,"45936 : Achilles, of Spoleto","Achilles, of Spoleto",Achilleus Spoletanus,,,,,Classical,,,,http://viaf.org/viaf/44692390,,,,,Achilleus Spoletanus 419,,,
89882,89882 : Acholius,Acholius,Acholius,,,,,Classical,,,,http://viaf.org/viaf/305392494,,Acholius,,,,,,
