DLL Author Name,Authorized Name,DLL Work Record
"44476 : Adalbéron, Bishop of Laon","Adalbéron, Bishop of Laon",Carmen ad Rotbertum regem (90719)
"44476 : Adalbéron, Bishop of Laon","Adalbéron, Bishop of Laon",De Summa Fidei (90720)
"44476 : Adalbéron, Bishop of Laon","Adalbéron, Bishop of Laon",Rythmus Satiricus (90721)
"44483 : Adam, von Bremen","Adam, von Bremen",Gesta Hammaburgensis ecclesiae pontificum (82178)
"44484 : Adamnan, Saint","Adamnan, Saint",Vita Sanctae Columbae (90722)
"44484 : Adamnan, Saint","Adamnan, Saint",De locis sanctis (82179)
"44487 : Adémar, de Chabannes","Adémar, de Chabannes",Chronicon (82184)
"44487 : Adémar, de Chabannes","Adémar, de Chabannes",Historiarum libri III (-1028) (82185)
"44491 : Donatus, Aelius","Donatus, Aelius",Vita Vergilii (80057)
"44491 : Donatus, Aelius","Donatus, Aelius",Ars grammatica (91321)
"44491 : Donatus, Aelius","Donatus, Aelius",Ars grammatica I (80044)
"44491 : Donatus, Aelius","Donatus, Aelius",Ars grammatica II (80045)
"44491 : Donatus, Aelius","Donatus, Aelius",Ars grammatica III (80046)
"44491 : Donatus, Aelius","Donatus, Aelius",Ars grammatica IV (80047)
"44491 : Donatus, Aelius","Donatus, Aelius",Commentum Terentii: Adelphoe (80048)
"44491 : Donatus, Aelius","Donatus, Aelius",Commentum Terentii: Andria (80049)
"44491 : Donatus, Aelius","Donatus, Aelius",Commentum Terentii: Eunuchus (80050)
"44491 : Donatus, Aelius","Donatus, Aelius",Commentum Terentii: Hecyra (80051)
"44491 : Donatus, Aelius","Donatus, Aelius",Commentum Terentii: Phormio (80052)
"44491 : Donatus, Aelius","Donatus, Aelius",Epistula ad Lucium Munatium (80053)
"44491 : Donatus, Aelius","Donatus, Aelius",Commentum Terentii (90723)
"44491 : Donatus, Aelius","Donatus, Aelius",Excerpta de comoedia (80054)
"44491 : Donatus, Aelius","Donatus, Aelius",Praefatio commentarii in Vergilii eclogas deperditi (80055)
"44491 : Donatus, Aelius","Donatus, Aelius",Vita Terentii (80056)
44496 : Aethicus Ister,Aethicus Ister,Cosmographia (82207)
44497 : Agennius Urbicus,Agennius Urbicus,De controuersiis agrorum (80058)
44497 : Agennius Urbicus,Agennius Urbicus,Commentum de agrorum qualitate (dub.) (84192)
44497 : Agennius Urbicus,Agennius Urbicus,Commentum de controversiis agrorum (dub.) (84193)
"44499 : Agius, of Corvey","Agius, of Corvey",Epicedium Hathumodae (82208)
"44499 : Agius, of Corvey","Agius, of Corvey",Versus computistici (82209)
"44505 : Aimoin, de Fleury, approximately 960-approximately 1010","Aimoin, de Fleury, approximately 960-approximately 1010",Historia Francorum: Continuatio Sancti Germani Parisiensis  (1125-1167) (82238)
"44505 : Aimoin, de Fleury, approximately 960-approximately 1010","Aimoin, de Fleury, approximately 960-approximately 1010",Miracula Sancti Benedicti (82239)
"44512 : Alcuin, 735-804","Alcuin, 735-804",Epitaphium (90727)
"44512 : Alcuin, 735-804","Alcuin, 735-804",Sequentia De Sancto Michaele (90728)
"44512 : Alcuin, 735-804","Alcuin, 735-804",Commentaria in sancti Iohannis Euangelium (82247)
"44512 : Alcuin, 735-804","Alcuin, 735-804",Versus de cuculo (90729)
"44512 : Alcuin, 735-804","Alcuin, 735-804",De fide sanctae trinitatis et de incarnatione Christi (82248)
"44512 : Alcuin, 735-804","Alcuin, 735-804",Grammatica (82249)
"44512 : Alcuin, 735-804","Alcuin, 735-804",Quaestiones de sancta trinitate (82250)
